ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,TAYACAJA,14
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,AMBO,14
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,DOS DE MAYO,3
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,HUAMALIES,9
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,HUANUCO,57
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,LAURICOCHA,5
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,LEONCIO PRADO,41
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,MARAÑON,3
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,PACHITEA,3
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,PUERTO INCA,2
2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,YAROWILCA,5
2022,AGOSTO,DEFUNCION,FEMENINO,ICA,CHINCHA,109
2022,AGOSTO,DEFUNCION,FEMENINO,ICA,ICA,218
2022,AGOSTO,DEFUNCION,FEMENINO,ICA,NASCA,31
2022,AGOSTO,DEFUNCION,FEMENINO,ICA,PALPA,3
2022,AGOSTO,DEFUNCION,FEMENINO,ICA,PISCO,87
2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,GENOVA,1
2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,LOMBARDIA,1
2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,MILAN,6
2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,TURIN,1
2022,AGOSTO,DEFUNCION,FEMENINO,JAPON,SHIZUOKA,1
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,CHANCHAMAYO,19
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,CHUPACA,30
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,CONCEPCION,16
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,HUANCAYO,212
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,JAUJA,20
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,JUNIN,3
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,SATIPO,34
2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,TARMA,23
